pid,screen_width,screen_height,condition,writing_assignment,awe,fear,amazement,happiness,fascination,content_video,content_study,video_played,video_problems,sound_on,attentive,conscientious,screen_control,screen_control_other,num_strengths,num_weaks,has_agreed,has_writing_assignment,num_strengths_z,num_weaknesses_z,has_outlier,has_zero_weaks,has_sound,has_video,has_attentiveness,awe_scale,num_strengths_log,num_weaks_log,balance,balance_log,num_strengths1_log,num_weaks1_log,balance1,balance1_log
f32c8d05,360,625,control,"Zunächst zu meinen Stärken. Ich bin sehr ordentlich und strukturiert, zudem kann ich gut zu hören. Ich funktioniere gut in einer Teamarbeit und bin zuverlässig.
Meine schwächen sind, dass ich manchmal die Zeit nicht richtig im Blick hab und für kleinere Aufgaben viel zu viel Zeit aufwende.",2,1,3,2,1,"Das Video handelte davon, wie man Mauern baut und diese besonders gut verstärkt.",Ich weiß es leider nicht,1,"",1,1,1,1,"",5,2,TRUE,TRUE,0.0751350834641462,-0.200557508650007,FALSE,FALSE,TRUE,TRUE,TRUE,2,1.6094379124341,0.693147180559945,2.5,0.916290731874155,1.79175946922806,1.09861228866811,2,0.693147180559945
8ed80f9e,402,714,exp_new,"meine Stärken sind meine kreativität und konzentration unter stress, ich lasse mich wenig von meinen Emotionen lenken undkann auch in stressigen oder schwierigen situationen ruhig und faktenbasiert bleiben. 
ich prokrasiniere manchmal zu vor indian mich schwer aufraffen dinge zu tun, wieso das so ist kann ich mir dabei oft selbst nicht erklären außerdem falle ich anderen oft ins wort, grundsätzlich höre ich trotzdem gerne zu und beschäftige mich mit anderen menschen ",5,1,6,5,7,der bedeutungslosigkeit des menschen angesichts des unendlichen universums,vielleicht wie sich das gefühl der distanzierung von seinem eigenen leben und der realisation der eigenen bedeutungslosigkeit (also im sinne davon wie viel mehr es eigentlich noch gibt) auf das eigene selbstbild auswirkt,1,"",1,1,1,1,"",8,3,TRUE,TRUE,1.18713431873351,0.311209927215528,FALSE,FALSE,TRUE,TRUE,TRUE,6,2.07944154167984,1.09861228866811,2.66666666666667,0.980829253011726,2.19722457733622,1.38629436111989,2.25,0.810930216216329
453cf770,390,658,exp_old,"Die Stärken der Person sind, dass sie sehr zuverlässig ist. Sie hält sich an das was sie verspricht, außerdem ist sie zuvorkommend und möchte immer alle einschließen und mitnehmen.
Die wahrscheinlich größte Schwäche der Person ist, dass sie vor lauter Angst zu scheitern oft gar nicht erst anfängt bzw. Dinge so weit hinauszögert, dass sie in der Zeit die noch übrig ist, nicht mehr perfekt erledigt werden können.",4,3,5,2,3,"- die Erde im Sonnensystem
- Irrelevanz des Individuums bzw. Gleichheit aller von außen
- als Einzelner Teil etwas viel Größeren sein
- greifbarere Vorstellung über die Größen der Planeten vermitteln
- epische Musik","Ob das Video in einem eher ein Gefühl von Nutzlosigkeit auslöst, weil es einem so erscheint als hätte alles keinen Sinn, weil man tatsächlich nur ein winzig kleiner Fleck im Universum ist oder, ob das Video einen eher dazu anregt tätig zu werden und sich nicht den Kopf über sein Handeln zu zerbrechen, weil man tatsächlich nur ein winzig kleiner Fleck im Universum ist.",1,"",1,1,1,1,"",5,2,TRUE,TRUE,0.0751350834641462,-0.200557508650007,FALSE,FALSE,TRUE,TRUE,TRUE,4,1.6094379124341,0.693147180559945,2.5,0.916290731874155,1.79175946922806,1.09861228866811,2,0.693147180559945
00713a9f,1710,900,exp_new,"ich bin zuverlässig, halte mich an Regeln, ich habe gute Manieren , ich kann gut kochen, ich mag es draußen zusein und Sport zu machen, ich mag meinen Garten, ich höre gerne Podcast, ich mag gerne gute Serien mit Superhelden",1,1,4,3,6,In meinen Augen ging es um unsere Erde - vom kleinen Feldweg bis hin zu den Unweiten der Galaxy.,Ich konnte keinen Zusammenhang erkennen,1,"",2,1,1,3,"",9,0,TRUE,TRUE,1.55780073048996,-1.22409238038108,FALSE,TRUE,FALSE,TRUE,TRUE,3.66666666666667,2.19722457733622,-Inf,Inf,Inf,2.30258509299405,0,10,2.30258509299405
7c2620d4,393,665,control,"Ich bin sehr empathisch, hilfsbereit und fürsorglich. Ich kümmere mich um andere so wie ich gerne behandelt werden würde, ich versuche viel hineinsetzungsvermögen und Verständnis anderen gegenüber zu haben. Ich hab viel selbstreflexion. Gleichzeitig sorge ich mich um mich selbst kaum, vernachlässige mich und meinen Körper, bin teils so empathisch dass ich nachteile von habe und falsches verhalten aus Mitleid entschuldigen könnte. Ich habe nicht viel Geduld, kaum selbstregulation und komme mit meinen gefühlen teils sxhwer klar, ich verschiebe gerne statt mich direkt drum zu kümmern und manchmal bin ich auch gnadenlos wenn man mich zu viel getestet hat, sodass all die oben genannten stärken kurz wegfallen",1,1,3,1,2,"Wie man Mauern bauen ind stabilisieren kann, welche Methoden es dafür gibt und welche optischen Merkmale ebenfalls vorteilhaft sind für stabile Mauerbauten",Ehm keine Ahnung,1,"",1,1,1,1,"",7,10,TRUE,TRUE,0.816467906977055,3.89358197827428,TRUE,FALSE,TRUE,TRUE,TRUE,2,1.94591014905531,2.30258509299405,0.7,-0.356674943938732,2.07944154167984,2.39789527279837,0.727272727272727,-0.318453731118535
176a1a80,402,768,exp_old,"Meine Stärken sind zum Beispiel mein Einfühlungsvermögen. Ich höre meinen Mitmenschen gerne zu und versuche ihnen gerne zu helfen. Zudem habe ich immer ein offenes Ohr für sie und bin immer für sie da. Ich bin ehrgeizig, zielstrebig und arbeite hart an etwas, was ich mir vorgenommen habe. 
Meine Schwächen sind, dass ich mir alles sehr sehr zu Herzen nehme. Manchmal bin ich etwas zu ehrgeizig und ungeduldig. Eine riesen Schwäche von mir ist, dass ich extrem selbstkritisch bin. ",7,3,6,5,7,"- von unserem Universum 
- von vielen Planeten und Sternen im Universum, die der Größe nach aufgelistet wurden (vom Kleinsten zum Größten)",- Aufmerksamkeitsspanne der Zuschauer testen,1,"",1,1,1,1,"",8,4,TRUE,TRUE,1.18713431873351,0.822977363081064,FALSE,FALSE,TRUE,TRUE,TRUE,6.66666666666667,2.07944154167984,1.38629436111989,2,0.693147180559945,2.19722457733622,1.6094379124341,1.8,0.587786664902119
2542be88,360,601,exp_new,"Freundlich 
Liebevoll
Humorvoll
Loyal
Verletzlich 

Maßlos beim Essen 
Ungeduld 
Impulsiv 
Verletzlich 
",7,1,7,7,7,Wie die Erde immer kleiner wird,Wie sich ein Video auf die Emotionen auswirken kann,1,"",1,1,1,1,"",5,4,TRUE,TRUE,0.0751350834641462,0.822977363081064,FALSE,FALSE,TRUE,TRUE,TRUE,7,1.6094379124341,1.38629436111989,1.25,0.22314355131421,1.79175946922806,1.6094379124341,1.2,0.182321556793955
460ac9c3,375,689,exp_old,"sozial, durchsetzungskräftig, strukturiert, fair,
pünktlich, verlässlich,

ängslich, Orientierungsschwäche, Selbstzweifel,",6,3,7,2,5,Um die Erde und um das Universum. Wie klein die Erde ist im Gegensatz zu den anderen Planeten. Der Mensch als kleiner Teil vom großen.,"Was das Video bei den Menschen auslöst, welche verschiedenen Wahrnehmungen ",1,"",1,1,1,1,"",6,3,TRUE,TRUE,0.445801495220601,0.311209927215528,FALSE,FALSE,TRUE,TRUE,TRUE,6,1.79175946922806,1.09861228866811,2,0.693147180559945,1.94591014905531,1.38629436111989,1.75,0.559615787935423
be550416,411,752,control,"Ich bin äußerst resilient, habe eine hohe Mustererkennung,  bin sehr gut in Konfliktlösung.
Schwächen sind , gedankenrasen, nachanalysieren aller Geschehnisse des Tages und Gespräche.  Konzentrationsprobleme",1,1,1,1,1,"Vom Mauerbau, der Fixierung und Stabilisierung der mauer",Visuelle Ankerpunkte die das Unterbewusstsein lenken,1,"",1,1,1,1,"",3,4,TRUE,TRUE,-0.666197740048763,0.822977363081064,FALSE,FALSE,TRUE,TRUE,TRUE,1,1.09861228866811,1.38629436111989,0.75,-0.287682072451781,1.38629436111989,1.6094379124341,0.8,-0.22314355131421
46ececa3,411,742,exp_old,"Spontan
Humorvoll
Leidenschaftlich

Vergesslich
Schnellsprechend
Direkt",1,1,5,2,7,"Planeten im Universum
Vergleich der relativen Grössen
Grösster bekannter Planet verglichen mit der Erde",Keine Ahnung,1,"",1,1,1,1,"",3,3,TRUE,TRUE,-0.666197740048763,0.311209927215528,FALSE,FALSE,TRUE,TRUE,TRUE,4.33333333333333,1.09861228866811,1.09861228866811,1,0,1.38629436111989,1.38629436111989,1,0
5a55edb2,393,695,exp_old,"Meine Stärken sind, dass ich sehr gut zuhören kann, emphatisch bin, jede Situation mit Humor nehmen kann und irgendeinen blöden Witz raushauen kann, ich bin sehr akribisch und lass mich nicht so schnell aus der Ruhe bringen 
Meine schwäche sind meine Vergesslichkeit, dass ich fünf Dinge Versuch gleichzeitig zu tun, sehr emotional bin und sehr selbstkritisch bin. Mit Kritik umgehen ist auch eine meiner Schwächen sowie Grenzen zu setzen und nein zu sagen ",7,1,5,6,7,"Der Größe der Erde und der Vergleich dazu von unseren Planeten, Sternen und Gasrießen die wir kennen.",Wie schnell unser geheime zwischen Emotionen und Wissen switchen kann?,1,"",1,1,1,1,"",6,7,TRUE,TRUE,0.445801495220601,2.35827967067767,FALSE,FALSE,TRUE,TRUE,TRUE,6.33333333333333,1.79175946922806,1.94591014905531,0.857142857142857,-0.154150679827258,1.94591014905531,2.07944154167984,0.875,-0.133531392624523
35f149ac,390,653,control,"Stärken: 
- Empathie 
- Kommunikation 
- extrovertiert 
- neugierig 
- lebensfroh
- tierlieb 
- handwerklich begabt 

Schwächen: 
- Kritik unfähig 
- sensibel 
- unsicher 
- anhänglich ",1,1,1,1,1,- Befestigung von Mauerwerken,- medialer Einfluss auf emotionale Reaktionen,1,"",1,1,1,1,"",7,4,TRUE,TRUE,0.816467906977055,0.822977363081064,FALSE,FALSE,TRUE,TRUE,TRUE,1,1.94591014905531,1.38629436111989,1.75,0.559615787935423,2.07944154167984,1.6094379124341,1.6,0.470003629245736
b13add2e,393,695,exp_new,Zu meinen Stärken gehört zwar nicht immer das aufmerksame zuhören aber ich merke mir einiges und erinnere mich gerne an Sachen die zb meine Freunde erzählt haben. Meistens ist die jedoch nur der Fall wenn es mich wirklich interessiert. Schwächen habe ich natürlich eine davon ist dabei keine gute selbstreflektion deswegen habe ich keine :),1,1,1,1,1,Es wurde viel gezeigt erst von der Erde und dann weiter raus gezoomt bis zum Weltall und das ganze Universum wurde gezeigt,Aufmerksamkeit Überprüfung was zu einer Zeitverschwendung geführt hat,2,Kam erst schwarzer Bildschirm grrrr musste es dann öfters neu laden aber dann hat alles supi dupi geklappt,1,1,1,1,"",2,1,TRUE,TRUE,-1.03686415180522,-0.712324944515543,FALSE,FALSE,TRUE,FALSE,TRUE,1,0.693147180559945,0,2,0.693147180559945,1.09861228866811,0.693147180559945,1.5,0.405465108108164
1deafd52,390,663,exp_old,"Ich denke ich bin sehr empathievoll und einfühlsam. Ich besitze emotionale Intelligenz und kann mich gut in andere Menschen hineinversetzen 
Manchmal kann ich aber etwas egoistisch denken bzw selbstzentriert sein und mir zu viele Gedanken über eine bestimmte Sache machen, sodass ich total gestresst werde ",5,3,7,5,7,"Von unserem Universum, unserem Planetensystem und insbesondere von der „Bedeutungslosigkeit“ der Erde im Vergleich zu den anderen viel größeren Planeten bzw. Sternen ","Um ehrlich zu sein keine Ahnung, aber vielleicht die Bedeutung des Menschen obwohl er eigentlich nur ein „Staubkorn“ im Universum ist ",1,"",1,1,1,1,"",4,2,TRUE,TRUE,-0.295531328292308,-0.200557508650007,FALSE,FALSE,TRUE,TRUE,TRUE,6.33333333333333,1.38629436111989,0.693147180559945,2,0.693147180559945,1.6094379124341,1.09861228866811,1.66666666666667,0.510825623765991
6ca96a32,393,773,exp_new,"Stärken:
- Kreativität wenn in Not
- verhalten von menschen verstehen
- musisches Verständnis in Bezug auf Tanzen

Schwächen:
- verstehen von vieler Strukturen
- mit Gefühlen anderer umgehen können
- eigenes ego zurückstecken",1,1,5,7,7,"- das das Universum größer als nur unsere erde ist
- das es mehrer solarsysteme im Universum gibt","- das wir menschen nicht die einzigen Lebewesen sind und es weit aus mehr da draußen gibt bzw generell im leben, das einfach ein größeres Bild der Möglichkeiten gezeigt wird",1,"",1,1,1,1,"",3,3,TRUE,TRUE,-0.666197740048763,0.311209927215528,FALSE,FALSE,TRUE,TRUE,TRUE,4.33333333333333,1.09861228866811,1.09861228866811,1,0,1.38629436111989,1.38629436111989,1,0
6f9eef85,360,609,exp_new,"Ich bin Jemand, der sich konzentrieren kann und Dinge zu Ende bringen möchte. Kann mich auch auf langfristige Dinge gut einlassen. 
Leider hab ich eine geringe Frustrationstolleranz und bin beeinflussbar.",6,1,2,6,6,Reise von einem Punkt auf der Erde - Sonnensytem - Milchstraße- All,Keine Ahnung.,1,"",1,1,1,1,"",3,2,TRUE,TRUE,-0.666197740048763,-0.200557508650007,FALSE,FALSE,TRUE,TRUE,TRUE,4.66666666666667,1.09861228866811,0.693147180559945,1.5,0.405465108108164,1.38629436111989,1.09861228866811,1.33333333333333,0.287682072451781
36aeb4ab,360,626,exp_new,"Ich habe eine schnelle Auffassungsgabe. Bin fleißig und mache Dinge die ich anfange so gut ich kann.
Ich kann mich gut in Menschen hineinversetzen und versuche immer deren Sicht zu verstehen. ",5,1,6,4,7,Galaxien,"Empfindungen, Reaktion",1,"",1,1,1,1,"",5,0,TRUE,TRUE,0.0751350834641462,-1.22409238038108,FALSE,TRUE,TRUE,TRUE,TRUE,6,1.6094379124341,-Inf,Inf,Inf,1.79175946922806,0,6,1.79175946922806
ab3a321f,791,260,exp_new,"Meine Stärken sind Freundlichkeit und Hilfsbereitschaft. Ich bin fleißig, loyal meinen Freunden gegenüber und helfe gerne anderen, wenn sie es brauchen. Außerdem habe ich eine schnelle Auffassungsgabe. 
Meine Schwächen sind Impulsivität, 
Manchmal setze ich mich selbst sehr unter Druck, wenn ich zu viel machen möchte und gleichzeitig Perfektion erreichen will. ",6,2,5,7,6,"Herauszoomen von einem Punkt auf der Erde auf Ansicht des Kontinents, der Erde, dann auf unser Sonnensystem, Milchstraße, Universum. ","Keine Ahnung. Aber das Video zeigt für mich die Irrelevanz des Menschen. Wir nehmen uns so wichtig und vergessen dabei, dass wir ein sehr sehr kleiner Teil eines großen Ganzen sind. ",1,"",1,1,1,1,"",6,2,TRUE,TRUE,0.445801495220601,-0.200557508650007,FALSE,FALSE,TRUE,TRUE,TRUE,5.66666666666667,1.79175946922806,0.693147180559945,3,1.09861228866811,1.94591014905531,1.09861228866811,2.33333333333333,0.847297860387204
9a75f5ae,390,699,exp_old,"Ich bin, organisiert und leistungsfähig. Für mein Alter bin ich noch sehr fit sehr. Ich bin hilfsbereit, wenn man mich fragt. ich kann sehr gut kochen und verschiedene Sprachen sprechen. Ich bin intelligent und vielseitig interessiert. Ich sehe gut aus. Bin selbstständig und unabhängig und kann mein Leben alleine führen. Ich habe eine handwerkliche Begabung.. 

Es fällt mir schwer, auf andere Menschen zu zugehen. Ich mache mir zu viele Gedanken über mich selbst und bin, obwohl ich meine Stärken kenne häufig unzufrieden mit mir selbst und meinen Leistungen und denke deshalb auch das andere mich wenig interessant finden. Ich bin undiszipliniert, nehme mir Dinge vor, aber führe sie da nicht durch.. ich bin zu perfektionistisch, das stresst mich sehr und ist auch für andere anstrengend. Daraus resultiert auch, dass es mir schwer fällt, Entscheidung zu treffen, weil ich immer versuche die perfekte Entscheidung zu treffen.. ich kann Kontrolle nicht abgeben, da ich mich dann unsicher fühle, lass ich nie ganz los.",5,1,5,4,5,"Von dem Universum und den Planeten, die uns umgeben. Vielleicht auch davon, wie winzig klein wie innerhalb dieses Universums sind.","Festzustellen, wie wichtig sich Personen selber nehmen.",1,"",1,1,1,1,"",13,9,TRUE,TRUE,3.04046637751578,3.38181454240874,TRUE,FALSE,TRUE,TRUE,TRUE,5,2.56494935746154,2.19722457733622,1.44444444444444,0.367724780125317,2.63905732961526,2.30258509299405,1.4,0.336472236621213
8157cb44,1180,688,exp_new,"Empathie Aufgeschlossenheit sport sozial ruhig gelassenheit

Leicht stressbar 

",7,2,5,5,7,"Es sollte uns mal wieder daran erinnern, wie klein wir Menschen und die Erde sind. 
Universum Galaxien","Wie Menschen auf diese Vorstellung, dass da noch so viel mehr als wir sind im Universum, emotional reagieren",1,"",1,1,1,2,"",6,1,TRUE,TRUE,0.445801495220601,-0.712324944515543,FALSE,FALSE,TRUE,TRUE,TRUE,6.33333333333333,1.79175946922806,0,6,1.79175946922806,1.94591014905531,0.693147180559945,3.5,1.25276296849537
584d435c,1376,761,exp_new,"Ich bin eine sehr vertrauenswürdige und verständnisvolle Person. Es passiert häufig, dass Menschen, die mir zum ersten Mal begegnen, mir direkt sehr vertrauenswürdige Dinge erzählen. Ich bin geduldig, offenherzig, sehr herzlich. Außerdem bin ich extrem ehrgeizig, fleißig und charakterstark. Ich bin loyal und kann sehr gut auf andere Menschen eingehen.

Meine Schwächen sind, dass ich häufig Selbstzweifel habe, oft faul bin, wenn keine Deadline ansteht und ich bin sehr (selbst-)kritisch, womit ich mir häufig im Weg stehe.",4,1,3,3,4,"ländliches Gebiet wurde gezeigt, dann herausgezoomt, bis man das Gebiet von oben sah, dann immer weiter herausgezoomt, bis schließlich die Erde als ganzes, dann unser Sonnensystem, dann unsere Galaxie und dann ein Teil des Weltalls gezeigt wurde","Ich vermute, dass untersucht wird, wie die abgefragten Emotionen in Verbindung mit unserer Selbstwahrnehmung (positiv vs. negativ) stehen",1,"",1,1,1,3,"",10,3,TRUE,TRUE,1.92846714224642,0.311209927215528,FALSE,FALSE,TRUE,TRUE,TRUE,3.66666666666667,2.30258509299405,1.09861228866811,3.33333333333333,1.20397280432594,2.39789527279837,1.38629436111989,2.75,1.01160091167848
007fd36d,1272,668,exp_new,"Ich bin selbstbewusst, kann für mich einstehen, bin sportlich, kann mich für fast alles begeistern, habe ehrliches Interesse an der Geschichte anderer, kann ut dankbarkeit zeigen, auf der anderen Seite bin ich ungeduldig, kann sehr böse werden wenn ich hunger habe oder müde bin und bin manchmal auch sehr dickköpfig",6,2,6,4,6,"Universum, was für ein unbedeutender Teil dieses Universums wir sind, Unendlichkeit",Wie die Wahrnehmung von Stärken und Schwächen mit dem Vor Augen führen der Unwichtigkeit von uns Menschen zusammenhängen,1,"",1,1,1,3,"",6,4,TRUE,TRUE,0.445801495220601,0.822977363081064,FALSE,FALSE,TRUE,TRUE,TRUE,6,1.79175946922806,1.38629436111989,1.5,0.405465108108164,1.94591014905531,1.6094379124341,1.4,0.336472236621213
114bd1c9,411,778,exp_new,Interessiert an neuem. Begeisterungsfähig und ehrlich. Ich kann zuhören und Entscheidungen schnell treffen. Meine Schwächen sind schlechte Englischkenntnisse und dass ich impulsiv bin.,5,1,6,6,7,Ausgangspunkt war ein Ort auf der Erde in Deutschland. Dann wurde von diesem aus die Erde gezeigt und die Betrachtung ging weiter in das Universum. Immer weiter und tiefer ins Weltall. Das Sonnensystem und letztlich die Milchstraße wurden verlassen. Andere Galaxien waren zu sehe. Fazit: Die Erde und ihre Bedeutungslosigkeit angesichts der Dimension des Weltalls.,"Zusammenhang von Emotionen, Selbsteinschätzung und Faszination ",1,"",1,1,1,1,"",5,2,TRUE,TRUE,0.0751350834641462,-0.200557508650007,FALSE,FALSE,TRUE,TRUE,TRUE,6,1.6094379124341,0.693147180559945,2.5,0.916290731874155,1.79175946922806,1.09861228866811,2,0.693147180559945
